Orderdetails_id,Order_id,Pizza_id,Quantity
610,60,174,3
611,60,351,2
612,60,562,1
613,60,551,3
614,60,301,5
615,60,413,3
616,60,583,1
617,60,133,4
618,60,399,3
619,61,601,2
620,61,217,4
621,61,604,4
622,61,597,3
623,61,620,4
624,61,207,4
625,61,506,5
626,61,200,1
627,61,258,3
628,61,563,2
629,61,714,1
630,61,325,2
631,61,603,3
632,61,326,1
633,61,421,4
634,61,89,4
635,61,272,1
636,62,416,5
637,62,288,2
638,62,726,5
639,62,219,5
640,62,616,3
641,62,312,3
642,62,211,5
643,62,553,4
644,62,266,1
645,62,504,5
646,63,136,3
647,63,179,4
648,63,465,1
649,63,92,3
650,63,449,2
651,63,398,2
652,63,530,5
653,63,22,2
654,63,97,3
655,63,633,2
656,63,523,4
657,63,633,4
658,63,64,5
659,63,542,1
660,63,44,3
661,63,636,3
662,63,70,4
663,63,667,4
664,64,630,1
665,64,711,1
666,64,64,2
667,64,682,3
668,64,124,5
669,64,320,5
670,64,249,2
671,64,714,4
672,64,272,5
673,64,147,1
674,64,693,1
675,65,10,2
676,65,432,2
677,65,589,1
678,65,553,3
679,65,661,4
680,65,297,3
681,65,523,4
682,65,728,2
683,66,562,3
684,66,206,1
685,66,631,2
686,66,502,2
687,66,396,4
688,66,455,3
689,66,248,2
690,66,335,4
691,66,298,2
692,66,157,3
693,66,83,2
694,66,326,1
695,67,600,5
696,68,50,5
697,68,286,4
698,68,590,5
699,68,687,1
700,68,24,5
701,68,217,1
702,68,95,3
703,68,36,2
704,68,201,3
705,69,469,1
706,69,525,4
707,69,442,1
708,69,632,1
709,69,44,3
710,69,491,3
711,69,431,4
712,69,337,5
713,69,78,3
714,69,647,2
715,69,292,3
716,69,353,4
717,69,76,5
718,69,403,5
719,69,401,1
720,69,592,3
721,69,631,5
722,69,657,4
723,70,595,3
724,70,268,3
725,70,301,3
726,70,464,5
727,70,245,2
728,70,278,3
729,70,89,5
730,70,360,5
731,70,403,3
732,70,631,1
733,70,589,2
734,70,163,3
735,70,26,4
736,70,685,5
737,70,401,4
738,70,541,3
739,70,657,2
740,70,478,2
741,70,538,3
742,70,311,3
743,71,20,4
744,71,558,3
745,71,507,2
746,71,354,3
747,71,250,2
748,71,376,5
749,71,618,1
750,71,341,5
751,71,80,2
752,71,371,1
753,71,107,3
754,72,661,4
755,72,1,2
756,72,95,3
757,72,140,5
758,72,599,4
759,72,18,5
760,73,546,2
761,73,351,1
762,73,600,3
763,73,339,3
764,73,105,4
765,73,655,5
766,74,12,5
767,75,140,4
768,75,123,3
769,75,694,5
770,75,432,4
771,75,617,4
772,75,208,1
773,75,711,5
774,75,684,5
775,75,108,3
776,75,373,2
777,75,556,3
778,75,705,2
779,75,615,4
780,75,372,5
781,75,154,5
782,76,400,3
783,76,486,3
784,76,681,3
785,76,553,2
786,76,190,3
787,76,589,2
788,76,320,4
789,77,610,5
790,77,238,2
791,77,463,3
792,77,406,2
793,77,55,3
794,77,678,5
795,77,529,5
796,77,233,3
797,77,173,3
798,77,67,4
799,77,194,5
800,77,627,1
801,77,388,2
802,77,392,1
803,77,641,3
804,77,239,2
805,77,552,5
806,77,255,4
807,77,469,4
808,77,427,1
809,78,481,5
810,78,100,1
811,78,92,5
812,78,50,2
813,78,561,2
814,78,188,4
815,78,483,2
816,78,41,1
817,78,379,4
818,78,141,4
819,78,173,4
820,78,314,3
821,78,143,4
822,78,10,5
823,78,712,2
824,78,643,4
825,79,361,2
826,79,315,5
827,79,208,1
828,79,679,4
829,79,189,1
830,79,680,1
831,79,45,5
832,79,584,1
833,79,662,1
834,79,357,4
835,79,417,5
836,79,495,4
837,79,89,5
838,79,19,4
839,79,570,1
840,79,459,2
841,79,227,4
842,79,169,2
843,79,397,2
844,79,28,5
845,80,126,2
846,80,562,3
847,80,643,5
848,80,101,3
849,80,645,5
850,80,577,1
851,81,112,1
852,81,384,4
853,81,556,3
854,81,11,1
855,81,100,4
856,81,610,3
857,82,623,1
858,82,632,5
859,82,422,1
860,82,395,1
861,82,325,5
862,82,122,1
863,82,111,3
864,82,690,3
865,82,195,4
866,82,169,3
867,82,276,3
868,82,649,4
869,82,245,2
870,82,150,3
871,82,109,4
872,82,83,4
873,82,329,5
874,83,682,1
875,83,18,1
876,83,483,3
877,83,677,3
878,83,240,2
879,83,298,2
880,83,613,1
881,83,370,2
882,83,460,4
883,83,9,2
884,83,323,2
885,83,217,2
886,83,205,3
887,83,440,5
888,83,108,4
889,83,355,3
890,83,703,4
891,83,84,1
892,84,178,1
893,84,178,1
894,84,542,3
895,84,57,4
896,84,537,2
897,84,600,1
898,84,627,3
899,84,533,5
900,84,44,4
901,84,98,2
902,85,342,3
903,86,108,4
904,86,133,4
905,86,649,5
906,86,490,1
907,86,586,2
908,86,499,1
909,86,245,1
910,86,325,3
911,86,721,4
912,86,389,4
913,86,515,4
914,86,631,1
915,86,13,2
916,86,258,1
917,86,116,5
918,86,107,5
919,86,198,1
920,86,104,3
921,86,92,4
922,87,310,3
923,87,601,1
924,87,458,5
925,87,232,3
926,87,92,5
927,87,138,5
928,87,726,4
929,87,551,2
930,87,393,5
931,88,321,4
932,88,606,4
933,88,729,5
934,88,350,2
935,88,479,3
936,88,605,1
937,88,718,5
938,88,533,3
939,88,505,1
940,88,369,1
941,88,163,5
942,88,412,3
943,88,711,2
944,89,641,4
945,89,242,5
946,89,336,1
947,89,24,2
948,89,416,3
949,89,725,4
950,89,1,2
951,89,401,2
952,90,610,3
953,90,22,1
954,90,358,1
955,90,612,3
956,90,518,3
957,90,206,5
958,90,284,5
959,90,295,3
960,90,615,1
961,90,644,4
962,90,444,5
963,90,426,2
964,90,488,5
965,90,451,2
966,90,230,1
967,90,392,5
968,90,343,3
969,90,410,2
970,91,716,5
971,91,683,4
972,91,412,2
973,91,506,2
974,91,437,2
975,91,511,2
976,91,406,2
977,91,223,2
978,91,79,4
979,91,213,3
980,91,423,2
981,92,77,5
982,92,462,3
983,92,528,4
984,92,140,4
985,92,540,3
986,92,557,3
987,92,329,3
988,92,9,3
989,92,482,1
990,92,605,2
991,92,487,3
992,92,249,2
993,92,219,1
994,92,337,4
995,92,121,5
996,92,630,3
997,92,110,3
998,92,238,5
999,92,16,1
1000,93,448,5
1001,93,7,4
1002,93,282,5
1003,93,468,2
1004,93,296,5
1005,93,708,5
1006,93,64,5
1007,93,459,4
1008,93,367,1
1009,94,266,4
1010,94,584,4
1011,94,364,5
1012,94,47,2
1013,95,492,2
1014,95,305,5
1015,96,678,4
1016,96,325,1
1017,96,339,1
1018,96,16,2
1019,96,148,5
1020,96,23,1
1021,96,292,4
1022,96,445,1
1023,96,210,3
1024,96,548,4
1025,96,276,4
1026,96,427,2
1027,97,562,4
1028,97,521,5
1029,97,357,5
1030,98,384,2
1031,98,534,3
1032,98,345,2
1033,98,129,3
1034,98,362,1
1035,98,689,4
1036,98,106,3
1037,98,528,3
1038,98,594,4
1039,98,294,2
1040,98,376,1
1041,98,165,5
1042,98,401,2
1043,98,608,4
1044,98,426,2
1045,98,25,2
1046,98,55,4
1047,98,248,5
1048,99,480,4
1049,99,340,4
1050,99,15,4
1051,99,563,5
1052,99,614,3
1053,99,157,1
1054,99,13,3
1055,99,732,3
1056,99,322,2
1057,99,727,4
1058,99,123,5
1059,99,154,5
1060,99,1,3
1061,99,703,1
1062,99,133,2
1063,99,190,4
1064,100,424,3
1065,100,317,3
1066,100,457,5
1067,100,640,5
1068,100,285,5
1069,100,602,3
1070,100,586,3
1071,100,116,4
1072,101,243,3
1073,101,157,5
1074,101,627,2
1075,101,150,5
1076,101,637,3
1077,101,274,2
1078,101,146,5
1079,101,216,3
1080,101,691,2
1081,101,227,3
1082,101,214,2
1083,101,90,2
1084,101,237,4
1085,101,188,2
1086,101,675,5
1087,101,312,2
1088,102,479,4
1089,102,246,2
1090,102,241,5
1091,102,529,3
1092,102,395,1
1093,102,74,1
1094,102,305,5
1095,102,320,1
1096,102,494,5
1097,102,353,3
1098,102,200,5
1099,102,255,2
1100,102,129,3
1101,102,407,5
1102,102,65,3
1103,103,408,2
1104,103,259,4
1105,103,609,4
1106,103,81,4
1107,103,293,3
1108,103,473,2
1109,103,269,4
1110,103,538,1
1111,103,358,1
1112,103,19,3
1113,104,289,3
1114,104,127,2
1115,104,704,5
1116,104,115,2
1117,104,99,1
1118,104,692,5
1119,104,208,3
1120,104,490,4
1121,105,625,4
1122,105,598,3
1123,105,114,1
1124,105,157,2
1125,105,720,5
1126,105,192,5
1127,105,671,5
1128,105,255,5
1129,105,653,1
1130,105,598,4
1131,105,671,1
1132,105,33,1
1133,105,388,4
1134,105,196,5
1135,105,83,3
1136,105,451,4
1137,105,685,2
1138,105,665,4
1139,105,560,5
1140,105,311,5
1141,106,395,3
1142,106,646,5
1143,106,704,1
1144,106,285,2
1145,106,728,5
1146,106,545,5
1147,106,367,3
1148,106,239,5
1149,106,60,1
1150,106,624,1
1151,106,376,3
1152,106,377,5
1153,106,22,2
1154,106,195,3
1155,106,202,3
1156,106,508,4
1157,106,201,3
1158,106,382,3
1159,107,692,1
1160,107,172,2
1161,107,679,1
1162,107,707,1
1163,107,281,2
1164,107,273,2
1165,107,164,1
1166,107,415,3
1167,107,188,3
1168,107,627,3
1169,107,217,5
1170,108,549,3
1171,108,377,1
1172,108,455,2
1173,108,501,4
1174,108,681,1
1175,108,315,3
1176,108,123,2
1177,108,678,2
1178,109,156,1
1179,109,389,4
1180,109,315,1
1181,109,148,2
1182,110,334,5
1183,110,176,2
1184,110,234,3
1185,110,231,5
1186,110,454,2
1187,110,80,3
1188,110,141,1
1189,110,520,4
1190,110,681,1
1191,110,7,1
1192,110,631,3
1193,110,638,2
1194,110,682,5
1195,110,253,5
1196,110,182,4
1197,111,607,4
1198,111,400,2
1199,111,511,1
1200,111,78,5
1201,111,520,3
1202,111,295,1
1203,111,378,2
1204,111,157,1
1205,111,221,4
1206,111,683,1
1207,111,472,1
1208,112,93,1
1209,112,624,1
1210,112,484,2
1211,112,325,1
1212,112,254,2
1213,112,653,1
1214,112,663,3
1215,112,422,4
1216,112,231,1
1217,112,184,5
1218,112,591,5
1219,112,58,4
1220,112,710,1
1221,112,646,1
1222,112,462,1
1223,113,226,1
1224,113,411,2
1225,113,623,4
1226,113,272,2
1227,113,448,1
1228,113,562,1
1229,113,150,4
1230,113,256,1
1231,113,325,4
1232,113,193,3
1233,113,477,5
1234,113,548,5
1235,113,332,4
1236,113,712,3
1237,114,89,2
1238,114,254,2
1239,114,541,5
1240,114,686,1
1241,114,516,4
1242,114,135,5
1243,114,507,3
1244,114,416,5
1245,114,661,4
1246,114,20,2
1247,114,208,2
1248,114,257,1
1249,114,16,5
1250,114,151,4
1251,114,37,4
1252,114,270,4
1253,115,2,3
1254,115,526,3
1255,115,492,5
1256,115,219,5
1257,115,727,5
1258,115,27,4
1259,115,304,4
1260,115,567,2
1261,116,681,2
1262,116,299,5
1263,116,332,4
1264,116,19,2
1265,116,487,1
1266,116,359,3
1267,116,693,4
1268,116,363,2
1269,116,27,3
1270,116,455,4
1271,116,336,2
1272,116,700,3
1273,116,638,2
1274,116,3,5
1275,116,685,4
1276,116,615,4
1277,117,552,5
1278,117,391,5
1279,117,381,4
1280,117,243,4
1281,117,517,1
1282,117,27,3
1283,117,258,1
1284,117,59,4
1285,117,304,5
1286,117,342,1
1287,117,729,1
1288,117,329,2
1289,117,288,2
1290,117,398,3
1291,118,438,4
1292,118,372,3
1293,118,376,2
1294,118,359,2
1295,118,237,3
1296,119,604,1
1297,119,343,3
1298,119,443,2
1299,119,54,3
1300,119,318,3
1301,119,156,5
1302,119,442,3
1303,119,147,3
1304,120,135,4
1305,120,300,3
1306,120,229,1
1307,121,649,2
1308,121,625,4
1309,121,592,2
1310,121,226,4
1311,121,120,3
1312,121,291,1
1313,121,162,1
1314,121,111,3
1315,121,529,2
1316,121,537,2
1317,121,107,3
1318,121,347,3
1319,122,287,4
1320,123,126,5
1321,123,190,3
1322,123,278,3
1323,123,151,2
1324,123,595,1
1325,123,555,1
1326,123,139,5
1327,123,349,1
1328,123,458,1
1329,123,675,2
1330,124,496,1
1331,124,664,5
1332,124,188,2
1333,124,573,4
1334,124,123,2
1335,124,260,2
1336,124,234,2
1337,124,278,3
1338,124,688,5
1339,124,13,5
1340,125,57,2
1341,125,655,4
1342,126,361,5
1343,126,151,3
1344,126,719,4
1345,126,114,5
1346,126,109,3
1347,126,271,3
1348,126,68,2
1349,126,265,5
1350,126,230,1
1351,126,687,4
1352,126,34,4
1353,126,272,5
1354,126,404,2
1355,126,331,4
1356,126,321,4
1357,126,693,4
1358,126,41,3
1359,126,76,3
1360,126,73,2
1361,127,694,5
1362,127,86,1
1363,127,532,1
1364,127,133,5
1365,127,153,5
1366,127,385,5
1367,127,306,4
1368,127,472,3
1369,127,276,3
1370,127,717,1
1371,127,612,1
1372,127,145,1
1373,127,560,1
1374,127,379,3
1375,127,293,5
1376,127,684,1
1377,127,277,3
1378,127,493,2
1379,128,661,1
1380,128,415,3
1381,128,514,5
1382,128,487,3
1383,128,530,2
1384,128,324,1
1385,128,173,2
1386,128,561,2
1387,128,73,3
1388,128,513,5
1389,128,556,2
1390,128,172,2
1391,128,443,4
1392,128,406,4
1393,129,498,5
1394,129,506,1
1395,129,679,1
1396,129,591,2
1397,129,176,1
1398,129,270,2
1399,130,295,4
1400,130,200,4
1401,130,536,5
1402,130,373,1
1403,131,224,2
1404,131,175,1
1405,131,169,2
1406,131,390,1
1407,131,643,3
1408,131,225,2
1409,131,671,5
1410,131,13,2
1411,131,299,1
1412,131,387,4
1413,131,97,3
1414,131,506,1
1415,131,261,1
1416,131,609,3
1417,132,729,2
1418,132,147,1
1419,132,650,4
1420,132,194,4
1421,132,651,4
1422,132,233,2
1423,132,4,4
1424,132,449,3
1425,132,643,3
1426,132,616,4
1427,132,222,5
1428,132,511,5
1429,132,266,5
1430,133,370,4
1431,133,314,5
1432,133,623,5
1433,133,698,3
1434,133,80,3
1435,133,162,1
1436,133,558,2
1437,133,710,2
1438,133,255,1
1439,133,522,5
1440,133,414,5
1441,133,664,3
1442,133,697,2
1443,133,662,1
1444,133,8,4
1445,133,363,5
1446,133,443,5
1447,133,457,1
1448,133,176,3
1449,133,601,4
1450,134,597,3
1451,135,181,2
1452,135,38,2
1453,135,346,3
1454,135,608,3
1455,135,652,4
1456,135,606,3
1457,135,576,5
1458,135,35,3
1459,135,381,4
1460,135,83,2
1461,135,415,2
1462,135,294,1
1463,135,305,3
1464,135,56,1
1465,135,105,2
1466,135,571,4
1467,135,45,2
1468,135,377,3
1469,135,621,2
1470,136,348,3
1471,136,498,5
1472,136,47,5
1473,136,47,5
1474,136,521,4
1475,137,686,3
1476,137,184,1
1477,138,78,3
1478,138,346,2
1479,138,75,5
1480,138,117,2
1481,138,93,5
1482,138,71,3
1483,138,168,5
1484,138,424,2
1485,138,156,4
1486,139,573,5
1487,139,347,1
1488,139,341,2
1489,139,425,1
1490,139,286,4
1491,140,524,5
1492,140,517,1
1493,140,143,2
1494,140,312,1
1495,140,541,1
1496,140,90,4
1497,140,285,1
1498,140,560,5
1499,140,137,5
1500,140,710,1
1501,140,267,4
1502,140,428,2
1503,140,376,1
1504,140,597,3
1505,140,706,5
1506,141,596,4
1507,141,447,1
1508,141,683,5
1509,141,617,3
1510,141,72,5
1511,141,541,5
1512,141,642,4
1513,141,611,5
1514,141,694,4
1515,141,163,5
1516,142,265,4
1517,142,488,3
1518,142,677,5
1519,142,20,5
1520,142,8,2
1521,142,215,3
1522,142,3,4
1523,142,584,3
1524,142,408,5
1525,142,254,2
1526,143,293,5
1527,143,698,1
1528,143,547,1
1529,143,429,4
1530,143,553,2
1531,143,184,1
1532,143,162,5
1533,143,499,4
1534,143,114,2
1535,143,583,5
1536,143,548,3
1537,143,386,4
1538,144,300,3
1539,144,283,2
1540,144,573,5
1541,144,138,1
1542,144,148,2
1543,144,626,3
1544,144,108,5
1545,145,109,4
1546,145,640,5
1547,145,513,5
1548,145,663,2
1549,145,506,2
1550,145,574,5
1551,145,731,1
1552,145,49,4
1553,145,602,2
1554,145,44,5
1555,145,235,2
1556,146,317,5
1557,146,135,5
1558,146,478,4
1559,146,272,5
1560,146,107,5
1561,146,423,4
1562,146,516,1
1563,147,569,4
1564,147,560,4
1565,147,569,1
1566,147,203,1
1567,147,516,3
1568,147,674,3
1569,147,360,5
1570,147,147,1
1571,147,646,1
1572,147,69,2
1573,147,701,2
1574,147,254,5
1575,148,178,5
1576,148,104,5
1577,148,562,1
1578,148,475,5
1579,148,668,2
1580,148,82,4
1581,148,606,1
1582,148,457,4
1583,148,340,3
1584,148,693,1
1585,148,638,5
1586,148,346,2
1587,148,352,2
1588,148,637,3
1589,148,66,2
1590,148,409,4
1591,148,713,1
1592,148,347,2
1593,149,618,3
1594,149,487,2
1595,149,481,2
1596,149,221,2
1597,149,666,3
1598,149,362,4
1599,149,332,2
1600,150,115,5
1601,150,33,3
1602,150,124,3
1603,150,46,5
1604,150,543,5
1605,150,572,5
1606,150,583,4
1607,150,640,4
1608,150,408,5
1609,150,535,4
1610,150,293,5
1611,151,539,2
1612,151,331,2
1613,151,212,4
1614,151,667,5
1615,151,654,4
1616,151,709,2
1617,151,622,2
1618,151,385,2
1619,151,249,5
1620,151,397,1
1621,151,655,5
1622,151,7,4
1623,151,266,1
1624,152,623,3
1625,152,685,4
1626,152,400,3
1627,152,542,5
1628,152,251,4
1629,152,99,5
1630,152,117,1
1631,152,111,2
1632,152,695,5
1633,152,444,5
1634,152,321,5
1635,152,249,4
1636,153,136,5
1637,153,653,1
1638,153,515,5
1639,153,288,3
1640,153,287,2
1641,153,111,4
1642,153,656,2
1643,153,592,4
1644,153,383,4
1645,153,355,3
1646,153,700,5
1647,153,119,3
1648,153,385,1
1649,153,193,5
1650,154,725,4
1651,154,541,4
1652,154,689,3
1653,155,676,5
1654,156,177,3
1655,156,429,2
1656,156,442,1
1657,156,686,1
1658,156,283,1
1659,156,61,4
1660,156,88,4
